epoch	utc	rss_kb	rss_gib
1782578110	16:35:10	32	0.000
1782578113	16:35:13	19104	0.018
1782578116	16:35:16	19152	0.018
1782578119	16:35:19	19440	0.019
1782578122	16:35:22	20112	0.019
1782578125	16:35:25	20256	0.019
1782578128	16:35:28	20976	0.020
1782578131	16:35:31	21040	0.020
1782578134	16:35:34	21888	0.021
1782578137	16:35:37	22192	0.021
1782578140	16:35:40	4413024	4.209
1782578143	16:35:43	6468048	6.168
1782578146	16:35:46	6548128	6.245
1782578149	16:35:49	6094752	5.812
1782578152	16:35:52	5371488	5.123
1782578155	16:35:55	4565104	4.354
1782578159	16:35:59	6044016	5.764
1782578162	16:36:02	4770304	4.549
1782578165	16:36:05	5007536	4.776
1782578168	16:36:08	5016480	4.784
1782578171	16:36:11	4532368	4.322
1782578174	16:36:14	4814160	4.591
1782578177	16:36:17	4772384	4.551
1782578181	16:36:21	4662880	4.447
1782578184	16:36:24	4657152	4.441
1782578187	16:36:27	6854864	6.537
1782578190	16:36:30	5405872	5.155
1782578193	16:36:33	6290368	5.999
1782578196	16:36:36	2710864	2.585
1782578199	16:36:39	10116320	9.648
1782578202	16:36:42	10653136	10.160
1782578205	16:36:45	10539840	10.052
1782578208	16:36:48	4651248	4.436
1782578211	16:36:51	3019168	2.879
1782578215	16:36:55	4638896	4.424
1782578218	16:36:58	5075408	4.840
1782578221	16:37:01	5087840	4.852
1782578224	16:37:04	5977104	5.700
1782578227	16:37:07	10127856	9.659
1782578231	16:37:11	8630832	8.231
1782578234	16:37:14	10316800	9.839
1782578237	16:37:17	4731648	4.512
1782578240	16:37:20	4738992	4.519
1782578243	16:37:23	6127408	5.844
1782578246	16:37:26	6580448	6.276
1782578249	16:37:29	9706864	9.257
