security_level,k,s,m,loquat_verifies,trace_cycles,cycles_per_verify,prove_ms_devmode,merkle_nodes
80,1,1,16,4,2907701248,726925312,16678.48,26
80,1,1,64,4,2909011968,727252992,16679.76,28
80,1,3,16,4,2917400576,729350144,16748.28,36
80,1,3,64,4,2922905600,730726400,17036.54,42
80,2,1,16,6,4347396096,724566016,25989.88,26
80,2,1,64,6,4349755392,724959232,25550.40,28
80,2,3,16,6,4355784704,725964117,25959.85,36
80,2,3,64,6,4361027584,726837931,26116.77,42
80,6,1,16,14,10106306560,721879040,59170.88,26
80,6,1,64,14,10109386752,722099054,58260.28,28
80,6,3,16,14,10112466944,722319067,59136.22,36
80,6,3,64,14,10119806976,722843355,61308.10,42
100,1,1,16,4,3559915520,889978880,20534.68,26
100,1,1,64,4,3563094016,890773504,20677.16,28
100,1,3,16,4,3570401280,892600320,20550.82,36
100,1,3,64,4,3574857728,893714432,21493.71,42
100,2,1,16,6,5326897152,887816192,30790.69,26
100,2,1,64,6,5326766080,887794347,29956.30,28
100,2,3,16,6,5335154688,889192448,30895.72,36
100,2,3,64,6,5341970432,890328405,30728.30,42
100,6,1,16,14,12387352576,884810898,70278.58,26
100,6,1,64,14,12389449728,884960695,71527.69,28
100,6,3,16,14,12400984064,885784576,73333.47,36
100,6,3,64,14,12406226944,886159067,73606.85,42
128,1,1,16,4,3791126528,947781632,21331.50,26
128,1,1,64,4,3791650816,947912704,22567.10,28
128,1,3,16,4,3800039424,950009856,22198.23,36
128,1,3,64,4,3806330880,951582720,21774.55,42
128,2,1,16,6,5669912576,944985429,32609.62,26
128,2,1,64,6,5673844736,945640789,33444.88,28
128,2,3,16,6,5681184768,946864128,32618.96,36
128,2,3,64,6,5686558720,947759787,32819.35,42
128,6,1,16,14,13197508608,942679186,75271.93,26
128,6,1,64,14,13197901824,942707273,76910.04,28
128,6,3,16,14,13201047552,942931968,75177.17,36
128,6,3,64,14,13205766144,943269010,76326.18,42
