security_level,n_sigs,n_accepted,total_cycles,cycles_per_sig,prove_wallclock_ms,message_commitment_cycles,absorb_sigma1_cycles,absorb_sigma2_cycles,legendre_constraints_cycles,sumcheck_cycles,absorb_sigma3_sigma4_cycles,ldt_openings_cycles,message_commitment_per_sig,absorb_sigma1_per_sig,absorb_sigma2_per_sig,legendre_constraints_per_sig,sumcheck_per_sig,absorb_sigma3_sigma4_per_sig,ldt_openings_per_sig
80,1,1,686010322,686010322,4198.87,4460958,53584958,53559207,4494263,39278714,21426723,507242880,4460958,53584958,53559207,4494263,39278714,21426723,507242880
80,2,2,1370912138,685456069,8270.32,8922432,107080001,107112739,8974335,78624766,42875895,1013569476,4461216,53540000,53556369,4487167,39312383,21437947,506784738
80,4,4,2742238750,685559687,16904.49,17843961,214261655,214266374,17927645,157254177,85711799,2027640895,4460990,53565413,53566593,4481911,39313544,21427949,506910223
80,8,8,5484610821,685576352,32729.24,35696178,428526664,428519064,35881993,314460109,171448368,4055586692,4462022,53565833,53564883,4485249,39307513,21431046,506948336
80,16,16,10968801953,685550122,64817.06,71408485,857043018,857015173,71779852,628863197,342858032,8111023384,4463030,53565188,53563448,4486240,39303949,21428627,506938961
80,32,32,21937771422,685555356,130156.20,142785624,1714002938,1713967923,143575186,1257776840,685835117,16222378865,4462050,53562591,53561497,4486724,39305526,21432347,506949339
80,64,64,43875104174,685548502,262804.79,285584544,3428160693,3428376233,287184032,2515807808,1371598270,32443667431,4462258,53565010,53568378,4487250,39309497,21431222,506932303
100,1,1,840822898,840822898,5105.18,4460958,67864994,67828426,5981146,39303354,21448526,631972875,4460958,67864994,67828426,5981146,39303354,21448526,631972875
100,2,2,1681778463,840889231,10194.16,8922432,135711029,135690392,11964485,78618446,42860156,1264259029,4461216,67855514,67845196,5982242,39309223,21430078,632129514
100,4,4,3362889836,840722459,20385.69,17843961,271335364,271387875,23915553,157259465,85721990,2528093384,4460990,67833841,67846968,5978888,39314866,21430497,632023346
100,8,8,6726179522,840772440,40820.74,35696178,542820119,542743885,47844522,314497259,171439076,5056646717,4462022,67852514,67842985,5980565,39312157,21429884,632080839
100,16,16,13452251198,840765699,82644.03,71408485,1085590570,1085450378,95693950,628879843,342810810,10113606338,4463030,67849410,67840648,5980871,39304990,21425675,632100396
100,32,32,26904935228,840779225,165393.86,142785624,2171496669,2170954414,191410860,1257738526,685742247,20227357948,4462050,67859270,67842325,5981589,39304328,21429445,632104935
100,64,64,53807174027,840737094,346530.57,285584544,4342358278,4342221364,382818366,2515494077,1371500885,40452471333,4462258,67849348,67847208,5981536,39304594,21429701,632069864
128,1,1,895145289,895145289,5890.73,4460958,67853641,67850485,5986177,39332378,21432141,686266890,4460958,67853641,67850485,5986177,39332378,21432141,686266890
128,2,2,1790155661,895077830,11618.05,8922432,135716961,135715932,11956616,78626316,42864800,1372600110,4461216,67858480,67857966,5978308,39313158,21432400,686300055
128,4,4,3579681631,894920407,23146.53,17843961,271383223,271346082,23925874,157239602,85727663,2744882982,4460990,67845805,67836520,5981468,39309900,21431915,686220745
128,8,8,7159002621,894875327,45126.57,35696178,542812762,542756915,47851490,314455850,171397024,5489540634,4462022,67851595,67844614,5981436,39306981,21424628,686192579
128,16,16,14317405131,894837820,92791.68,71408485,1085517294,1085521190,95694077,629051155,342951420,10978450684,4463030,67844830,67845074,5980879,39315697,21434463,686153167
128,32,32,28635616244,894863007,175296.98,142785624,2171172242,2171118875,191484133,1257850101,685744829,21958011496,4462050,67849132,67847464,5983879,39307815,21429525,686187859
128,64,64,57269765716,894840089,348903.49,285584544,4342237799,4342420142,382893570,2515727041,1371515969,43914661469,4462258,67847465,67850314,5982712,39308235,21429937,686166585
